INSERT into payments (OrderNumber, paymentType, CID, AmountPaid, Gratuity) VALUES
(2695, cash, 687, 78.5, 0.0),
(2696, cash, 579, 76.0, 0.0),
(2697, cash, 210, 96.0, 0.0),
(2698, cash, 180, 88.5, 0.0),
(2699, debit, 576, 38.0, 0.0),
(2700, debit, 25, 75.0, 0.0),
(2701, credit card, 369, 81.0, 0.0),
(2702, debit, 601, 45.5, 0.0),
(2703, cash, 626, 102.5, 0.0),
(2704, debit, 275, 22.0, 0.0),
(2705, debit, 639, 25.0, 0.0),
(2706, cash, 970, 36.50, 0.0),
(2706, credit, 970, 36.50, 0.0),
(2707, credit, 240, 24.00, 2.00),
(2707, cash, 240, 24.00, 2.00),
(2707, cash, 240, 24.00, 2.00),
(2707, debit, 240, 24.00, 2.00),
(2707, debit, 240, 24.00, 2.00),
(2708, debit, 522, 7.70, 2.00),
(2708, debit, 522, 7.70, 2.00),
(2708, debit, 522, 7.70, 2.00),
(2708, cash, 522, 7.70, 2.00),
(2708, debit, 522, 7.70, 2.00),
(2709, cash, 179, 14.5, 0.0),
(2710, cash, 94, 13.5, 0.0),
(2711, debit, 405, 12.5, 0.0),
(2712, debit, 580, 30.50, 0.0),
(2712, debit, 580, 30.50, 0.0),
(2713, debit, 966, 98.5, 0.0),
(2714, cash, 654, 22.0, 0.0),
(2715, cash, 811, 4.75, 0.0),
(2715, cash, 811, 4.75, 0.0),
(2716, cash, 353, 75.0, 0.0),
(2717, credit card, 960, 75.5, 0.0),
(2718, credit card, 643, 69.0, 0.0),
(2719, cash, 424, 11.5, 0.0),
(2720, debit, 951, 45.0, 0.0),
(2721, debit, 704, 16.5, 0.0),
(2722, credit, 661, 23.00, 0.0),
(2722, debit, 661, 23.00, 0.0),
(2723, cash, 281, 50.5, 0.0),
(2724, credit card, 516, 23.0, 0.0),
(2725, cash, 541, 12.40, 2.00),
(2725, cash, 541, 12.40, 2.00),
(2725, credit, 541, 12.40, 2.00),
(2725, cash, 541, 12.40, 2.00),
(2725, debit, 541, 12.40, 2.00),
(2726, credit card, 454, 82.0, 0.0),
(2727, debit, 138, 40.0, 0.0),
(2728, credit, 847, 33.33, 3.33),
(2728, credit, 847, 33.33, 3.33),
(2728, debit, 847, 33.33, 3.33),
(2729, debit, 394, 61.5, 0.0),
(2730, debit, 917, 43.00, 0.0),
(2730, cash, 917, 43.00, 0.0),
(2731, cash, 288, 19.75, 0.0),
(2731, cash, 288, 19.75, 0.0),
(2732, debit, 814, 57.75, 0.0),
(2732, debit, 814, 57.75, 0.0),
(2733, cash, 221, 5.80, 2.00),
(2733, cash, 221, 5.80, 2.00),
(2733, debit, 221, 5.80, 2.00),
(2733, debit, 221, 5.80, 2.00),
(2733, credit, 221, 5.80, 2.00),
(2734, credit card, 861, 12.5, 0.0),
(2735, cash, 528, 75.0, 0.0),
(2736, debit, 150, 13.5, 0.0),
(2737, credit, 918, 39.00, 0.0),
(2737, cash, 918, 39.00, 0.0),
(2738, credit, 72, 12.50, 0.0),
(2738, cash, 72, 12.50, 0.0),
(2739, debit, 1000, 36.83, 3.33),
(2739, cash, 1000, 36.83, 3.33),
(2739, debit, 1000, 36.83, 3.33),
(2740, debit, 216, 7.25, 0.0),
(2740, credit, 216, 7.25, 0.0),
(2741, debit, 785, 80.5, 0.0),
(2742, debit, 357, 17.5, 0.0),
(2743, cash, 260, 39.50, 0.0),
(2743, cash, 260, 39.50, 0.0),
(2744, credit, 469, 33.5, 0.0),
(2745, credit card, 184, 32.5, 0.0),
(2746, credit, 687, 31.50, 0.0),
(2746, debit, 687, 31.50, 0.0),
(2747, cash, 850, 53.0, 0.0),
(2748, credit card, 734, 41.0, 0.0),
(2749, credit card, 473, 44.0, 0.0),
(2750, credit, 780, 32.50, 0.0),
(2750, cash, 780, 32.50, 0.0),
(2751, credit card, 525, 9.5, 0.0),
(2752, cash, 864, 45.75, 0.0),
(2752, credit, 864, 45.75, 0.0),
(2753, debit, 674, 30.50, 0.0),
(2753, debit, 674, 30.50, 0.0),
(2754, cash, 546, 61.0, 0.0),
(2755, cash, 13, 49.50, 0.0),
(2755, cash, 13, 49.50, 0.0),
(2756, cash, 316, 80.0, 0.0),
(2757, cash, 963, 88.0, 0.0),
(2758, credit, 984, 6.25, 0.0),
(2758, cash, 984, 6.25, 0.0),
(2759, debit, 942, 40.50, 0.0),
(2759, cash, 942, 40.50, 0.0),
(2760, credit, 270, 85.0, 0.0),
(2761, cash, 465, 72.0, 0.0),
(2762, debit, 204, 14.5, 0.0),
(2763, credit, 97, 14.5, 0.0),
(2764, debit, 862, 87.0, 0.0),
(2765, credit, 420, 5.25, 0.0),
(2765, credit, 420, 5.25, 0.0),
(2766, debit, 181, 55.5, 0.0),
(2767, credit card, 403, 13.5, 0.0),
(2768, credit, 290, 12.5, 0.0),
(2769, credit card, 361, 76.5, 0.0),
(2770, debit, 10, 89.0, 0.0),
(2771, cash, 35, 11.50, 0.0),
(2771, cash, 35, 11.50, 0.0),
(2772, credit, 616, 47.0, 0.0),
(2773, debit, 903, 99.5, 0.0),
(2774, credit, 224, 5.25, 0.0),
(2774, credit, 224, 5.25, 0.0),
(2775, credit card, 951, 89.0, 0.0),
(2776, cash, 535, 74.5, 0.0),
(2777, cash, 597, 63.0, 0.0),
(2778, cash, 190, 3.50, 3.33),
(2778, debit, 190, 3.50, 3.33),
(2778, debit, 190, 3.50, 3.33),
(2779, debit, 671, 8.75, 0.0),
(2779, cash, 671, 8.75, 0.0),
(2780, debit, 89, 26.00, 0.0),
(2780, debit, 89, 26.00, 0.0),
(2781, credit card, 390, 108.0, 0.0),
(2782, debit, 849, 26.00, 0.0),
(2782, cash, 849, 26.00, 0.0),
(2783, credit, 311, 74.0, 0.0),
(2784, credit, 148, 14.5, 0.0),
(2785, cash, 292, 87.0, 0.0),
(2786, debit, 934, 35.5, 0.0),
(2787, cash, 530, 75.0, 0.0),
(2788, debit, 610, 14.5, 0.0),
(2789, debit, 295, 16.13, 2.50),
(2789, cash, 295, 16.13, 2.50),
(2789, credit, 295, 16.13, 2.50),
(2789, debit, 295, 16.13, 2.50),
(2790, credit card, 851, 79.0, 0.0),
(2791, cash, 831, 43.50, 0.0),
(2791, credit, 831, 43.50, 0.0),
(2792, cash, 360, 40.50, 3.33),
(2792, credit, 360, 40.50, 3.33),
(2792, cash, 360, 40.50, 3.33),
(2793, cash, 189, 7.25, 0.0),
(2793, cash, 189, 7.25, 0.0),
(2794, credit, 631, 62.5, 0.0),
(2795, cash, 817, 14.5, 0.0),
(2796, cash, 714, 42.50, 0.0),
(2796, cash, 714, 42.50, 0.0),
(2797, cash, 96, 28.33, 3.33),
(2797, debit, 96, 28.33, 3.33),
(2797, cash, 96, 28.33, 3.33),
(2798, debit, 625, 95.5, 0.0),
(2799, debit, 614, 75.0, 0.0),
(2800, debit, 389, 87.5, 0.0),
(2801, credit card, 686, 14.5, 0.0),
(2802, debit, 194, 67.0, 0.0),
(2803, credit card, 778, 61.5, 0.0),
(2804, credit card, 663, 53.0, 0.0),
(2805, debit, 533, 23.0, 0.0),
(2806, debit, 668, 83.5, 0.0),
(2807, credit, 340, 115.5, 0.0),
(2808, debit, 476, 14.5, 0.0),
(2809, credit, 87, 12.5, 0.0),
(2810, cash, 813, 24.83, 3.33),
(2810, cash, 813, 24.83, 3.33),
(2810, cash, 813, 24.83, 3.33),
(2811, debit, 309, 12.5, 0.0),
(2812, cash, 793, 9.5, 0.0),
(2813, cash, 938, 76.5, 0.0),
(2814, debit, 640, 78.0, 0.0),
(2815, credit, 924, 10.5, 0.0),
(2816, credit, 284, 11.5, 0.0),
(2817, cash, 85, 61.5, 0.0),
(2818, debit, 58, 25.75, 0.0),
(2818, cash, 58, 25.75, 0.0),
(2819, cash, 602, 11.5, 0.0),
(2820, debit, 456, 11.5, 0.0),
(2821, cash, 100, 10.5, 0.0),
(2822, cash, 823, 40.75, 0.0),
(2822, credit, 823, 40.75, 0.0),
(2823, credit, 227, 13.5, 0.0),
(2824, debit, 153, 21.0, 0.0),
(2825, cash, 500, 44.25, 0.0),
(2825, debit, 500, 44.25, 0.0),
(2826, cash, 251, 108.5, 0.0),
(2827, debit, 84, 95.5, 0.0),
(2828, debit, 844, 134.0, 0.0),
(2829, cash, 443, 33.75, 0.0),
(2829, debit, 443, 33.75, 0.0),
(2830, debit, 372, 14.5, 0.0),
(2831, cash, 402, 119.5, 0.0),
(2832, debit, 757, 22.20, 2.00),
(2832, debit, 757, 22.20, 2.00),
(2832, cash, 757, 22.20, 2.00),
(2832, credit, 757, 22.20, 2.00),
(2832, credit, 757, 22.20, 2.00),
(2833, debit, 609, 100.0, 0.0),
(2834, credit card, 742, 55.0, 0.0),
(2835, credit card, 288, 77.5, 0.0),
(2836, cash, 942, 6.25, 0.0),
(2836, debit, 942, 6.25, 0.0),
(2837, debit, 627, 97.0, 0.0),
(2838, debit, 824, 10.5, 0.0),
(2839, credit card, 52, 46.0, 0.0),
(2840, debit, 146, 23.00, 3.33),
(2840, debit, 146, 23.00, 3.33),
(2840, credit, 146, 23.00, 3.33),
(2841, debit, 973, 3.50, 3.33),
(2841, debit, 973, 3.50, 3.33),
(2841, debit, 973, 3.50, 3.33),
(2842, cash, 95, 20.0, 0.0),
(2843, credit card, 497, 9.5, 0.0),
(2844, debit, 873, 12.5, 0.0),
(2845, debit, 777, 63.0, 0.0),
(2846, debit, 192, 11.50, 0.0),
(2846, debit, 192, 11.50, 0.0),
(2847, cash, 128, 110.5, 0.0),
(2848, credit, 540, 90.5, 0.0),
(2849, cash, 628, 61.25, 0.0),
(2849, debit, 628, 61.25, 0.0),
(2850, cash, 214, 13.5, 0.0),
(2851, cash, 963, 21.50, 2.50),
(2851, debit, 963, 21.50, 2.50),
(2851, credit, 963, 21.50, 2.50),
(2851, debit, 963, 21.50, 2.50),
(2852, credit, 237, 118.5, 0.0),
(2853, cash, 402, 91.0, 0.0),
(2854, cash, 119, 45.5, 0.0),
(2855, credit, 400, 88.5, 0.0),
(2856, debit, 644, 76.0, 0.0),
(2857, credit, 102, 13.5, 0.0),
(2858, credit card, 281, 70.5, 0.0),
(2859, debit, 220, 49.0, 0.0),
(2860, cash, 101, 38.0, 0.0),
(2861, cash, 113, 7.25, 0.0),
(2861, credit, 113, 7.25, 0.0),
(2862, credit card, 626, 21.0, 0.0),
(2863, debit, 250, 120.5, 0.0),
(2864, credit card, 524, 104.0, 0.0),
(2865, debit, 298, 60.0, 0.0),
(2866, cash, 896, 35.0, 0.0),
(2867, debit, 815, 14.5, 0.0),
(2868, credit, 478, 100.0, 0.0),
(2869, cash, 211, 10.00, 0.0),
(2869, debit, 211, 10.00, 0.0),
(2870, debit, 808, 4.00, 2.00),
(2870, debit, 808, 4.00, 2.00),
(2870, cash, 808, 4.00, 2.00),
(2870, cash, 808, 4.00, 2.00),
(2870, credit, 808, 4.00, 2.00),
(2871, credit, 513, 20.0, 0.0),
(2872, credit, 251, 20.0, 0.0),
(2873, debit, 829, 20.0, 0.0),
(2874, debit, 837, 10.00, 0.0),
(2874, debit, 837, 10.00, 0.0),
(2875, cash, 124, 80.0, 0.0),
(2876, debit, 893, 100.0, 0.0),
(2877, debit, 611, 10.00, 0.0),
(2877, debit, 611, 10.00, 0.0),
(2878, cash, 182, 29.0, 0.0),
(2879, cash, 577, 82.5, 0.0),
(2880, cash, 955, 76.0, 0.0),
(2881, cash, 399, 13.5, 0.0),
(2882, credit card, 795, 117.0, 0.0),
(2883, cash, 642, 6.75, 0.0),
(2883, credit, 642, 6.75, 0.0),
(2884, debit, 358, 55.00, 0.0),
(2884, credit, 358, 55.00, 0.0),
(2885, credit card, 974, 29.5, 0.0),
(2886, credit, 511, 68.5, 0.0),
(2887, debit, 106, 39.50, 0.0),
(2887, cash, 106, 39.50, 0.0),
(2888, debit, 202, 11.83, 3.33),
(2888, debit, 202, 11.83, 3.33),
(2888, cash, 202, 11.83, 3.33),
(2889, debit, 360, 103.0, 0.0),
(2890, debit, 254, 13.90, 2.00),
(2890, debit, 254, 13.90, 2.00),
(2890, debit, 254, 13.90, 2.00),
(2890, credit, 254, 13.90, 2.00),
(2890, cash, 254, 13.90, 2.00),
(2891, cash, 54, 13.25, 2.50),
(2891, credit, 54, 13.25, 2.50),
(2891, cash, 54, 13.25, 2.50),
(2891, credit, 54, 13.25, 2.50),
(2892, credit, 560, 22.0, 0.0),
(2893, credit, 643, 12.5, 0.0),
(2894, credit card, 863, 14.5, 0.0),
(2895, debit, 660, 74.5, 0.0),
(2896, credit card, 847, 76.5, 0.0),
(2897, cash, 785, 31.83, 3.33),
(2897, debit, 785, 31.83, 3.33),
(2897, debit, 785, 31.83, 3.33),
(2898, debit, 818, 62.5, 0.0),
(2899, cash, 208, 46.75, 0.0),
(2899, debit, 208, 46.75, 0.0),
(2900, credit card, 839, 111.5, 0.0),
(2901, debit, 40, 53.25, 0.0),
(2901, credit, 40, 53.25, 0.0),
(2902, cash, 318, 74.0, 0.0),
(2903, credit card, 302, 94.0, 0.0),
(2904, cash, 922, 101.0, 0.0),
(2905, debit, 173, 12.5, 0.0),
(2906, cash, 933, 13.5, 0.0),
(2907, cash, 128, 24.13, 2.50),
(2907, debit, 128, 24.13, 2.50),
(2907, debit, 128, 24.13, 2.50),
(2907, debit, 128, 24.13, 2.50),
(2908, credit card, 988, 72.0, 0.0),
(2909, credit card, 383, 89.0, 0.0),
(2910, debit, 648, 33.5, 0.0),
(2911, debit, 289, 91.5, 0.0),
(2912, cash, 705, 28.5, 0.0),
(2913, debit, 254, 5.75, 0.0),
(2913, debit, 254, 5.75, 0.0),
(2914, cash, 831, 33.75, 0.0),
(2914, cash, 831, 33.75, 0.0),
(2915, credit, 776, 86.0, 0.0),
(2916, cash, 199, 9.5, 0.0),
(2917, credit, 475, 90.5, 0.0),
(2918, cash, 372, 11.5, 0.0),
(2919, debit, 549, 2.50, 2.00),
(2919, cash, 549, 2.50, 2.00),
(2919, credit, 549, 2.50, 2.00),
(2919, debit, 549, 2.50, 2.00),
(2919, cash, 549, 2.50, 2.00),
(2920, credit, 671, 7.60, 2.00),
(2920, cash, 671, 7.60, 2.00),
(2920, credit, 671, 7.60, 2.00),
(2920, cash, 671, 7.60, 2.00),
(2920, credit, 671, 7.60, 2.00),
(2921, cash, 685, 7.0, 0.0),
(2922, cash, 881, 12.5, 0.0),
(2923, debit, 575, 15.33, 3.33),
(2923, cash, 575, 15.33, 3.33),
(2923, debit, 575, 15.33, 3.33),
(2924, cash, 589, 32.00, 3.33),
(2924, debit, 589, 32.00, 3.33),
(2924, cash, 589, 32.00, 3.33),
(2925, debit, 95, 21.75, 2.50),
(2925, credit, 95, 21.75, 2.50),
(2925, debit, 95, 21.75, 2.50),
(2925, debit, 95, 21.75, 2.50),
(2926, cash, 635, 114.5, 0.0),
(2927, cash, 916, 42.0, 0.0),
(2928, cash, 600, 134.0, 0.0),
(2929, debit, 514, 80.0, 0.0),
(2930, credit, 946, 36.00, 0.0),
(2930, credit, 946, 36.00, 0.0),
(2931, credit, 15, 42.50, 0.0),
(2931, debit, 15, 42.50, 0.0),
(2932, credit card, 531, 91.5, 0.0),
(2933, debit, 926, 83.5, 0.0),
(2934, credit card, 231, 87.0, 0.0),
(2935, cash, 470, 80.5, 0.0),
(2936, debit, 815, 91.5, 0.0),
(2937, cash, 404, 57.0, 0.0),
(2938, cash, 667, 43.50, 0.0),
(2938, credit, 667, 43.50, 0.0),
(2939, cash, 990, 51.0, 0.0),
(2940, debit, 381, 66.5, 0.0),
(2941, cash, 620, 14.5, 0.0),
(2942, cash, 922, 20.25, 2.50),
(2942, cash, 922, 20.25, 2.50),
(2942, cash, 922, 20.25, 2.50),
(2942, debit, 922, 20.25, 2.50),
(2943, credit card, 861, 91.5, 0.0),
(2944, credit card, 113, 79.0, 0.0),
(2945, cash, 989, 39.25, 0.0),
(2945, debit, 989, 39.25, 0.0),
(2946, cash, 720, 127.0, 0.0),
(2947, credit card, 375, 65.5, 0.0),
(2948, cash, 599, 33.50, 0.0),
(2948, cash, 599, 33.50, 0.0),
(2949, debit, 422, 50.0, 0.0),
(2950, cash, 937, 41.50, 0.0),
(2950, cash, 937, 41.50, 0.0),
(2951, debit, 264, 47.00, 0.0),
(2951, cash, 264, 47.00, 0.0),
(2952, credit card, 878, 53.5, 0.0),
(2953, debit, 805, 57.0, 0.0),
(2954, credit card, 422, 77.5, 0.0),
(2955, debit, 501, 55.75, 0.0),
(2955, credit, 501, 55.75, 0.0),
(2956, debit, 771, 10.5, 0.0),
(2957, debit, 494, 10.50, 0.0),
(2957, credit, 494, 10.50, 0.0),
(2958, credit, 139, 22.0, 0.0),
(2959, cash, 436, 82.5, 0.0),
(2960, credit, 420, 25.10, 2.00),
(2960, cash, 420, 25.10, 2.00),
(2960, debit, 420, 25.10, 2.00),
(2960, cash, 420, 25.10, 2.00),
(2960, debit, 420, 25.10, 2.00),
(2961, debit, 454, 59.5, 0.0),
(2962, cash, 552, 158.0, 0.0),
(2963, debit, 278, 55.50, 0.0),
(2963, credit, 278, 55.50, 0.0),
(2964, debit, 908, 91.5, 0.0),
(2965, debit, 261, 16.70, 2.00),
(2965, debit, 261, 16.70, 2.00),
(2965, credit, 261, 16.70, 2.00),
(2965, debit, 261, 16.70, 2.00),
(2965, cash, 261, 16.70, 2.00),
(2966, credit, 868, 58.0, 0.0),
(2967, debit, 599, 95.5, 0.0),
(2968, debit, 531, 63.5, 0.0),
(2969, debit, 98, 6.75, 0.0),
(2969, debit, 98, 6.75, 0.0),
(2970, credit, 652, 36.0, 0.0),
(2971, credit card, 805, 12.5, 0.0),
(2972, debit, 829, 19.00, 0.0),
(2972, debit, 829, 19.00, 0.0),
(2973, cash, 693, 44.25, 0.0),
(2973, cash, 693, 44.25, 0.0),
(2974, cash, 660, 86.5, 0.0),
(2975, debit, 121, 62.0, 0.0),
(2976, credit card, 235, 83.0, 0.0),
(2977, credit card, 60, 29.0, 0.0),
(2978, credit card, 21, 81.0, 0.0),
(2979, credit card, 459, 90.0, 0.0),
(2980, credit card, 951, 30.5, 0.0),
(2981, cash, 739, 76.0, 0.0),
(2982, credit, 887, 107.0, 0.0),
(2983, cash, 252, 27.75, 2.50),
(2983, credit, 252, 27.75, 2.50),
(2983, debit, 252, 27.75, 2.50),
(2983, cash, 252, 27.75, 2.50),
(2984, debit, 316, 17.5, 0.0),
(2985, debit, 909, 65.5, 0.0),
(2986, debit, 970, 5.25, 0.0),
(2986, credit, 970, 5.25, 0.0),
(2987, credit, 158, 9.5, 0.0),
(2988, credit card, 887, 81.0, 0.0),
(2989, cash, 206, 10.5, 0.0),
(2990, debit, 749, 66.0, 0.0),
(2991, credit card, 852, 93.5, 0.0),
(2992, cash, 655, 41.75, 0.0),
(2992, credit, 655, 41.75, 0.0),
(2993, cash, 64, 65.5, 0.0),
(2994, credit card, 292, 86.5, 0.0),
(2995, cash, 125, 32.50, 0.0),
(2995, debit, 125, 32.50, 0.0),
(2996, credit card, 612, 129.0, 0.0),
(2997, credit card, 384, 67.5, 0.0),
(2998, cash, 935, 76.0, 0.0),
(2999, cash, 840, 13.5, 0.0),
(3000, cash, 739, 91.5, 0.0),
(3001, cash, 774, 29.0, 0.0),
(3002, debit, 772, 38.75, 0.0),
(3002, credit, 772, 38.75, 0.0),
(3003, cash, 652, 13.5, 0.0),
(3004, debit, 836, 11.50, 0.0),
(3004, debit, 836, 11.50, 0.0),
(3005, credit card, 783, 13.5, 0.0),
(3006, debit, 74, 59.75, 0.0),
(3006, credit, 74, 59.75, 0.0),
(3007, cash, 879, 6.75, 0.0),
(3007, credit, 879, 6.75, 0.0),
(3008, cash, 516, 6.75, 0.0),
(3008, debit, 516, 6.75, 0.0),
(3009, cash, 388, 124.0, 0.0),
(3010, cash, 367, 35.00, 0.0),
(3010, cash, 367, 35.00, 0.0),
(3011, cash, 360, 70.5, 0.0),
(3012, credit, 355, 29.00, 0.0),
(3012, cash, 355, 29.00, 0.0),
(3013, credit, 385, 63.0, 0.0),
(3014, debit, 169, 72.5, 0.0),
(3015, debit, 413, 21.00, 2.50),
(3015, credit, 413, 21.00, 2.50),
(3015, debit, 413, 21.00, 2.50),
(3015, debit, 413, 21.00, 2.50),
(3016, debit, 156, 41.75, 0.0),
(3016, cash, 156, 41.75, 0.0),
(3017, cash, 542, 15.50, 2.00),
(3017, cash, 542, 15.50, 2.00),
(3017, cash, 542, 15.50, 2.00),
(3017, debit, 542, 15.50, 2.00),
(3017, debit, 542, 15.50, 2.00),
(3018, credit card, 870, 69.0, 0.0),
(3019, credit card, 559, 69.5, 0.0),
(3020, cash, 351, 33.00, 0.0),
(3020, debit, 351, 33.00, 0.0),
(3021, cash, 158, 45.25, 0.0),
(3021, debit, 158, 45.25, 0.0),
(3022, cash, 818, 12.5, 0.0),
(3023, debit, 641, 49.25, 0.0),
(3023, cash, 641, 49.25, 0.0),
(3024, cash, 518, 23.0, 0.0),
(3025, credit card, 971, 12.5, 0.0),
(3026, cash, 679, 28.75, 0.0),
(3026, cash, 679, 28.75, 0.0),
(3027, credit, 228, 116.0, 0.0),
(3028, debit, 47, 86.5, 0.0),
(3029, debit, 501, 17.5, 0.0),
(3030, credit, 503, 110.5, 0.0),
(3031, debit, 802, 14.5, 0.0),
(3032, credit, 134, 29.0, 0.0),
(3033, cash, 192, 45.5, 0.0),
(3034, credit card, 421, 12.5, 0.0),
(3035, debit, 502, 127.0, 0.0),
(3036, debit, 787, 32.13, 2.50),
(3036, cash, 787, 32.13, 2.50),
(3036, cash, 787, 32.13, 2.50),
(3036, debit, 787, 32.13, 2.50),
(3037, cash, 537, 17.5, 0.0),
(3038, debit, 206, 58.75, 0.0),
(3038, cash, 206, 58.75, 0.0),
(3039, debit, 1, 54.5, 0.0),
(3040, cash, 627, 56.5, 0.0),
(3041, credit card, 765, 135.0, 0.0),
(3042, cash, 325, 8.5, 0.0),
(3043, debit, 75, 4.75, 0.0),
(3043, credit, 75, 4.75, 0.0),
(3044, debit, 275, 31.5, 0.0),
(3045, cash, 635, 45.00, 0.0),
(3045, credit, 635, 45.00, 0.0),
(3046, debit, 331, 23.10, 2.00),
(3046, cash, 331, 23.10, 2.00),
(3046, cash, 331, 23.10, 2.00),
(3046, debit, 331, 23.10, 2.00),
(3046, cash, 331, 23.10, 2.00),
(3047, cash, 651, 10.5, 0.0),
(3048, debit, 136, 23.0, 0.0),
(3049, debit, 23, 27.5, 0.0),
(3050, cash, 445, 68.5, 0.0),
(3051, debit, 590, 12.5, 0.0),
(3052, credit card, 747, 71.0, 0.0),
(3053, debit, 319, 3.63, 2.50),
(3053, debit, 319, 3.63, 2.50),
(3053, cash, 319, 3.63, 2.50),
(3053, cash, 319, 3.63, 2.50),
(3054, debit, 645, 72.0, 0.0),
(3055, debit, 771, 27.0, 0.0),
(3056, cash, 125, 6.25, 0.0),
(3056, debit, 125, 6.25, 0.0),
(3057, cash, 988, 6.25, 0.0),
(3057, credit, 988, 6.25, 0.0),
(3058, debit, 28, 31.5, 0.0),
(3059, cash, 113, 56.0, 0.0),
(3060, debit, 951, 14.5, 0.0),
(3061, cash, 761, 95.5, 0.0),
(3062, debit, 291, 29.5, 0.0),
(3063, credit, 636, 5.00, 2.00),
(3063, debit, 636, 5.00, 2.00),
(3063, cash, 636, 5.00, 2.00),
(3063, credit, 636, 5.00, 2.00),
(3063, debit, 636, 5.00, 2.00),
(3064, credit, 443, 41.75, 0.0),
(3064, debit, 443, 41.75, 0.0),
(3065, debit, 601, 26.50, 0.0),
(3065, debit, 601, 26.50, 0.0),
(3066, debit, 503, 27.00, 3.33),
(3066, debit, 503, 27.00, 3.33),
(3066, credit, 503, 27.00, 3.33),
(3067, cash, 376, 14.5, 0.0),
(3068, credit card, 726, 69.5, 0.0),
(3069, cash, 315, 6.25, 0.0),
(3069, debit, 315, 6.25, 0.0),
(3070, debit, 202, 17.00, 2.50),
(3070, cash, 202, 17.00, 2.50),
(3070, debit, 202, 17.00, 2.50),
(3070, debit, 202, 17.00, 2.50),
(3071, debit, 302, 14.5, 0.0),
(3072, debit, 456, 53.00, 0.0),
(3072, cash, 456, 53.00, 0.0),
(3073, debit, 406, 32.5, 0.0),
(3074, cash, 885, 2.38, 2.50),
(3074, cash, 885, 2.38, 2.50),
(3074, cash, 885, 2.38, 2.50),
(3074, cash, 885, 2.38, 2.50),
(3075, debit, 399, 94.5, 0.0),
(3076, credit, 915, 11.5, 0.0),
(3077, debit, 784, 19.0, 0.0),
(3078, credit card, 110, 21.0, 0.0),
(3079, cash, 632, 10.5, 0.0),
(3080, debit, 889, 48.0, 0.0),
(3081, credit, 154, 14.70, 2.00),
(3081, credit, 154, 14.70, 2.00),
(3081, cash, 154, 14.70, 2.00),
(3081, debit, 154, 14.70, 2.00),
(3081, cash, 154, 14.70, 2.00),
(3082, cash, 496, 4.67, 3.33),
(3082, debit, 496, 4.67, 3.33),
(3082, cash, 496, 4.67, 3.33),
(3083, cash, 40, 26.50, 0.0),
(3083, debit, 40, 26.50, 0.0),
(3084, cash, 508, 14.5, 0.0),
(3085, debit, 488, 87.0, 0.0),
(3086, cash, 44, 40.50, 0.0),
(3086, cash, 44, 40.50, 0.0),
(3087, debit, 982, 54.0, 0.0),
(3088, cash, 899, 123.0, 0.0),
(3089, credit, 704, 12.90, 2.00),
(3089, debit, 704, 12.90, 2.00),
(3089, cash, 704, 12.90, 2.00),
(3089, cash, 704, 12.90, 2.00),
(3089, debit, 704, 12.90, 2.00),
(3090, debit, 959, 19.25, 0.0),
(3090, cash, 959, 19.25, 0.0),
(3091, debit, 532, 37.50, 0.0),
(3091, cash, 532, 37.50, 0.0),
(3092, credit card, 172, 7.0, 0.0),
(3093, credit card, 420, 96.5, 0.0),
(3094, credit card, 397, 23.0, 0.0),
(3095, cash, 208, 12.5, 0.0),
(3096, debit, 318, 94.5, 0.0),
(3097, cash, 561, 47.75, 0.0),
(3097, debit, 561, 47.75, 0.0),
(3098, credit, 603, 5.25, 0.0),
(3098, credit, 603, 5.25, 0.0),
(3099, debit, 681, 40.00, 0.0),
(3099, cash, 681, 40.00, 0.0),
(3100, cash, 699, 80.0, 0.0),
(3101, debit, 627, 20.0, 0.0),
(3102, debit, 815, 80.0, 0.0),
(3103, cash, 245, 25.00, 2.50),
(3103, credit, 245, 25.00, 2.50),
(3103, debit, 245, 25.00, 2.50),
(3103, debit, 245, 25.00, 2.50),
(3104, debit, 951, 20.0, 0.0),
(3105, debit, 603, 30.00, 0.0),
(3105, debit, 603, 30.00, 0.0),
(3106, credit, 846, 100.0, 0.0),
(3107, credit, 947, 100.0, 0.0),
(3108, debit, 220, 50.00, 0.0),
(3108, cash, 220, 50.00, 0.0),
(3109, cash, 596, 75.0, 0.0),
(3110, cash, 890, 13.30, 2.00),
(3110, debit, 890, 13.30, 2.00),
(3110, debit, 890, 13.30, 2.00),
(3110, credit, 890, 13.30, 2.00),
(3110, debit, 890, 13.30, 2.00),
(3111, cash, 490, 17.30, 2.00),
(3111, cash, 490, 17.30, 2.00),
(3111, credit, 490, 17.30, 2.00),
(3111, credit, 490, 17.30, 2.00),
(3111, credit, 490, 17.30, 2.00),
(3112, debit, 31, 26.00, 2.00),
(3112, cash, 31, 26.00, 2.00),
(3112, debit, 31, 26.00, 2.00),
(3112, cash, 31, 26.00, 2.00),
(3112, debit, 31, 26.00, 2.00),
(3113, cash, 498, 66.5, 0.0),
(3114, debit, 547, 16.75, 0.0),
(3114, cash, 547, 16.75, 0.0),
(3115, debit, 441, 28.25, 0.0),
(3115, cash, 441, 28.25, 0.0),
(3116, cash, 160, 27.0, 0.0),
(3117, debit, 865, 14.5, 0.0),
(3118, credit, 668, 72.0, 0.0),
(3119, cash, 631, 36.50, 0.0),
